taxon,min_yr,max_yr,subfamily,tribe,genus,Amber Locale,Reference
Emplastus_elongatus,33.9,38,Dolichoderinae,,Emplastus,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Emplastus_macrops,33.9,38,Dolichoderinae,,Emplastus,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Formica_biamoensis,33.9,38,Formicinae,Formicini,Formica,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Formica_paleosibirica,33.9,38,Formicinae,Formicini,Formica,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Gesomyrmex_macrops,33.9,38,Formicinae,Gesomyrmecini,Gesomyrmex,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Gesomyrmex_magnus,33.9,38,Formicinae,Gesomyrmecini,Gesomyrmex,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Liometopum_incognitum,33.9,38,Dolichoderinae,Tapinomini,Liometopum,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Myrmecites_dubius,33.9,38,Myrmicinae,,Myrmecites,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Myrmecites_sibiricus,33.9,38,Myrmicinae,,Myrmecites,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Pachycondyla_aberrans,33.9,38,Ponerinae,,Pachycondyla,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
