#NEXUS
Begin data;
	DIMENSIONS NTAX=703  NCHAR=1;
  Format datatype=Continuous missing=? gap=-;
	MATRIX
Crematogaster_kelleri	20.3388985427875
Crematogaster_modiglianii	16.3279925170373
Pheidole_antipodum	13.1362935198963
Monomorium_hanneli	13.904468227511
Pheidole_fimbriata	14.1657771431734
Myrmicaria_brunnea	14.703029286166
Carebara_affinis	13.1362541664943
Carebara_vidua	14.8872509810328
Dolopomyrmex_pilatus	13.3475333333653
Tropidomyrmex_elianae	22.7677767344867
Vitsika_suspicax	24.5027451175999
Basiceros_manni	24.2202326343002
Canapone_dentata	11.7477752986813
Pseudomyrmex_extinctus	13.5569696924057
Britaneuretus_anglicus	13.7196493778362
Heteroponera_microps	10.854302004636
Mischocyttarus_flavitarsis	14.2301713835388
Protanilla_JAP01	12.230265217668
Metapolybia_cingulata	13.18972421888
Lioponera_suscitata	11.0407443352994
Casaleia_longiventris	9.58353825748345
Amblyopone_pallipes	12.1872083490878
Chyphotes_sp	12.6401953399592
Chyphotes_mellipes	16.1097127927774
Myrmecia_nigriceps	10.8371433605503
Myrmica_americana	13.8607640473247
Pogonomyrmex_californicus	18.0292764552549
Leptanilla_swani	15.5729581152701
